B::MMU.List.PageTable_0xfffff80000000000--0xfffff80400000000
__________________address________________|_physical________________________________|sec|_d_|_size____|_permissions____________________|_glb|_shr|_pageflags_(remapped)___________|
     C:FFFFF8010B843000--FFFFF8010B843FFF|     I:00000000FE174000--00000000FE174FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B844000--FFFFF8010B844FFF|     I:00000000FE173000--00000000FE173FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B845000--FFFFF8010B845FFF|     I:00000000FE172000--00000000FE172FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B846000--FFFFF8010B846FFF|     I:00000000FE171000--00000000FE171FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B847000--FFFFF8010B847FFF|     I:00000000FE170000--00000000FE170FFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B848000--FFFFF8010B848FFF|     I:00000000FE16F000--00000000FE16FFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B849000--FFFFF8010B849FFF|     I:00000000FE16E000--00000000FE16EFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84A000--FFFFF8010B84AFFF|     I:00000000FE16D000--00000000FE16DFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84B000--FFFFF8010B84BFFF|     I:00000000FE16C000--00000000FE16CFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84C000--FFFFF8010B84CFFF|     I:00000000FE16B000--00000000FE16BFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
     C:FFFFF8010B84D000--FFFFF8010B84DFFF|     I:00000000FE16A000--00000000FE16AFFF| ns|   | 00001000| P:readonly  U:noaccess  notexec| yes| inn| write-back/read-write-allocate |
